favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,coordinates
2,Twitter for Android,"b'Recadinho: bebam \xc3\xa1gua, n\xc3\xa3o joguem lixo nas ruas e nem nos rios/mares!\n          cuide de si e da natureza \xf0\x9f\x92\x96'",,False,Sat Jun 01 13:10:00 +0000 2019,0,1134809321294979073,
0,Twitter Web App,"b'Vamos evitar os alagamentos e transtornos,Vamos policiar nosso lixo espalhados nas ruas e boeiros a chuvas vem ai p\xe2\x80\xa6 https://t.co/KL1TvsmAXs'",,False,Sun Jun 02 12:38:36 +0000 2019,0,1135163806299152384,
0,Twitter Web App,b'esses panacas que fica fazendo baderna nas Ruas gritando lula Livre podem ir embora para Venezuela que nos mandamos\xe2\x80\xa6 https://t.co/OwS7B5Yo8m',,False,Sun Jun 02 23:20:58 +0000 2019,0,1135325464455782403,
0,Twitter for Android,"b'Paulo Pimenta \xc3\xa9 um dos membros da quadrilha do PT que roubou o povo brasileiro , deixando morrer nas estradas por f\xe2\x80\xa6 https://t.co/eBQQ1XwFkB'",,False,Mon Jun 03 22:31:28 +0000 2019,0,1135675396136079360,
0,Twitter for Android,"b'@angelocoronel_ Vc \xc3\xa9 anti democr\xc3\xa1tico e n\xc3\xa3o aceita a decis\xc3\xa3o do povo nas urnas e nem nas ruas, vc \xc3\xa9 abomin\xc3\xa1vel seu lixo .'",angelocoronel_,False,Tue Jun 04 03:59:02 +0000 2019,0,1135757830332604416,
0,Twitter for Android,b'#BDSP\n@gloria_vanique @rodrigobocardi \nBom dia SP\nVejo muitos carros jogando lixo ( principalmente recicl\xc3\xa1veis) pel\xe2\x80\xa6 https://t.co/WLTvhR1yvJ',,False,Tue Jun 04 09:57:05 +0000 2019,0,1135847937328762881,
0,Facebook,b'Multa para quem jogar lixo nas ruas de Jo\xc3\xa3o Pessoa \xc3\xa9 aprovada na C\xc3\xa2mara Municipal https://t.co/tQZ0mcj6Fa',,False,Sat Apr 06 22:09:12 +0000 2019,0,1114651294327877633,
0,Facebook,b'Multa para quem jogar lixo nas ruas de Jo\xc3\xa3o Pessoa \xc3\xa9 aprovada na C\xc3\xa2mara Municipal https://t.co/8WvIdZGBCK',,False,Sat Apr 06 15:27:38 +0000 2019,0,1114550235039260673,
1,Twitter for Android,"b'@goulart_lenita Um p\xc3\xbablico completamente diferente, n tem peitos, bundas, pinto de fora. N\xc3\xa3o tem lixo jogado nas ru\xe2\x80\xa6 https://t.co/TzpksyX7Ht'",goulart_lenita,False,Sat Jun 01 12:48:03 +0000 2019,0,1134803797388251136,
0,Twitter for Android,"b'Toda chuva \xc3\xa9 uma ben\xc3\xa7\xc3\xa3o de Deus. Mas quando alaga, inunda casas, carros, deslizamentos e etc n\xc3\xa3o \xc3\xa9 culpa da chuva e\xe2\x80\xa6 https://t.co/h0jgKZty8N'",,False,Sat Apr 06 20:22:29 +0000 2019,0,1114624437222088706,
1,Twitter for Android,"b'#VCnoJL1 Enquanto n\xc3\xa3o se tomam uma decis\xc3\xa3o concreta em rela\xc3\xa7\xc3\xa3o h\xc3\xa1 um lugar definitivo para a coleta do lixo,Bel\xc3\xa9m c\xe2\x80\xa6 https://t.co/Wv9JPq8anY'",,False,Mon Jun 03 14:50:41 +0000 2019,0,1135559433390645249,
3,Twitter Web Client,"b""#G1PA\n\nLixo come\xc3\xa7a a se acumular nas ruas de Bel\xc3\xa9m devido a protesto de 'vizinhos' do Aterro Sanit\xc3\xa1rio de Marituba\xe2\x80\xa6 https://t.co/3CBtFZFNYY""",,False,Mon Jun 03 14:13:19 +0000 2019,0,1135550030348259329,
1,Twitter Web Client,b'@LuisFMalaca Taxa que o PAN quer para acabar com o lixo nas ruas e beatas... um gajo burro que deve viver nalgum en\xe2\x80\xa6 https://t.co/stcAp36nCY',LuisFMalaca,False,Mon Jun 03 22:53:09 +0000 2019,0,1135680850912325632,
0,Twitter Web App,"b'M\xc3\xa9dia onde o lixo \xc3\xa9 descartado nas ruas,nos rios e mares.A humanidade depende da riqueza acumulada dos ricos e a na\xe2\x80\xa6 https://t.co/KzF5D4jRtn'",izabelcrisp,False,Sun Jun 02 04:52:52 +0000 2019,0,1135046603155398656,
0,Twitter for Android,b'@republica_ctba @NAS_RUAS Ele \xc3\xa9 um arquivo vivo da esquerda  !!! Os pr\xc3\xb3prios mandantes v\xc3\xa3o dar um jeito nele pois s\xe2\x80\xa6 https://t.co/7VKQeAmPYk',republica_ctba,False,Sun Jun 02 20:47:37 +0000 2019,0,1135286871876153344,
0,Twitter for iPhone,b'@prefsp Eu amo S\xc3\xa3o Paulo! Sou do interior mudei pra sp em 2007 nunca joguei lixo na rua. J\xc3\xa1 passei fome aqui sem em\xe2\x80\xa6 https://t.co/lf6yYZMjS3',prefsp,False,Sat Jun 01 15:20:57 +0000 2019,0,1134842274410565633,
0,Twitter for Android,b'@luciano_hang Hoje a Vit\xc3\xb3ria \xc3\xa9 de todo o povo brasileiro e nosso que lutamos nas ruas e nas redes sociais!\n\nO PT e\xe2\x80\xa6 https://t.co/cOTorltEbq',luciano_hang,False,Tue Jun 04 00:42:00 +0000 2019,0,1135708244817711112,
